category,latitude,longitude,datazone,name
Potholes,55.80668,-4.2351,S01009980,Glenwood North - 01
Potholes,55.88457,-4.21609,S01010201,Barmulloch - 03
Potholes,55.86829,-4.26254,S01010269,City Centre West - 04
Potholes,55.87835,-4.33267,S01010422,Victoria Park - 03
Pavements/footpaths,55.85921,-4.25588,S01010275,City Centre South - 04
Potholes,55.82998,-4.36312,S01009794,Pollok South and West - 03
Potholes,55.87989,-4.28524,S01010372,North Kelvin - 04
Potholes,55.87789,-4.27721,S01010307,Firhill - 07
Potholes,55.85691,-4.27038,S01010276,Anderston - 01
Potholes,55.8193,-4.36916,S01009797,Pollok South and West - 06
Potholes,55.8801,-4.23155,S01010208,Petershill - 06
Potholes,55.84676,-4.26293,S01010032,Laurieston and Tradeston - 02
Potholes,55.85896,-4.25915,S01010275,City Centre South - 04
Potholes,55.86701,-4.2565,S01010270,City Centre West - 05
Potholes,55.85852,-4.25907,S01010274,City Centre South - 03
Potholes,55.87479,-4.29487,S01010407,Dowanhill - 05
Potholes,55.90509,-4.35773,S01010489,Drumchapel South - 02
Potholes,55.89801,-4.2748,S01010350,Maryhill East - 01
Potholes,55.88762,-4.27656,S01010316,Ruchill - 02
Potholes,55.80067,-4.33389,S01009761,Darnley East - 04
Pavements/footpaths,55.83311,-4.25263,S01009897,Govanhill East and Aikenhead - 04
Potholes,55.85841,-4.25728,S01010275,City Centre South - 04
Potholes,55.87534,-4.15462,S01010170,Craigend and Ruchazie - 06
Potholes,55.84,-4.13383,S01010091,Baillieston East - 04
Potholes,55.84719,-4.30815,S01009873,Kingston West and Dumbreck - 03
Potholes,55.9022,-4.37273,S01010486,Blairdardie West - 02
Potholes,55.85104,-4.35107,S01009812,Cardonald North - 03
Potholes,55.88448,-4.28762,S01010322,Ruchill - 08
Potholes,55.86225,-4.1997,S01010152,Carntyne - 01
Potholes,55.84071,-4.28485,S01009877,Pollokshields West - 03
Potholes,55.83953,-4.27807,S01009912,Maxwell Park - 01
Potholes,55.83592,-4.25681,S01009895,Govanhill East and Aikenhead - 02
Potholes,55.85326,-4.26347,S01010032,Laurieston and Tradeston - 02
Potholes,55.85995,-4.3477,S01009833,Drumoyne and Shieldhall - 01
Potholes,55.85368,-4.27441,S01010031,Laurieston and Tradeston - 01
Potholes,55.85038,-4.3513,S01009812,Cardonald North - 03
Potholes,55.85802,-4.1328,S01010130,Barlanark - 08
Pavements/footpaths,55.8282,-4.36238,S01009795,Pollok South and West - 04
Pavements/footpaths,55.89791,-4.20001,S01010197,Balornock - 04
Potholes,55.83733,-4.11525,S01010091,Baillieston East - 04
Potholes,55.84764,-4.27497,S01009871,Kingston West and Dumbreck - 01
Potholes,55.824,-4.25834,S01010011,Mount Florida - 01
Potholes,55.81816,-4.25549,S01010010,Cathcart - 06
Potholes,55.82366,-4.27905,S01009928,Langside - 02
Potholes,55.82971,-4.26519,S01009904,Battlefield - 06
Potholes,55.87975,-4.23368,S01010223,Cowlairs and Port Dundas - 05
Potholes,55.84241,-4.26903,S01009883,Pollokshields East - 03
Pavements/footpaths,55.82603,-4.26646,S01009901,Battlefield - 03
Potholes,55.86983,-4.29528,S01010384,Hillhead - 04
Pavements/footpaths,55.87438,-4.32156,S01010394,Partick - 02
Potholes,55.82654,-4.2368,S01010020,Toryglen and Oatlands - 05
Pavements/footpaths,55.87731,-4.3011,S01010404,Dowanhill - 02
Pavements/footpaths,55.8587,-4.26175,S01010273,City Centre South - 02
Potholes,55.81285,-4.21903,S01009982,Glenwood North - 03
Potholes,55.88715,-4.25196,S01010328,Possil Park - 06
Pavements/footpaths,55.88453,-4.2669,S01010314,Keppochhill - 06
Potholes,55.78845,-4.24126,S01009969,Carmunnock South - 01
Potholes,55.90484,-4.34919,S01010478,Blairdardie East - 01
Potholes,55.86352,-4.3528,S01009833,Drumoyne and Shieldhall - 01
Potholes,55.86931,-4.30785,S01010386,Hillhead - 06
Potholes,55.88456,-4.36064,S01010435,Scotstoun South and West - 04
Pavements/footpaths,55.85282,-4.28834,S01009866,Kinning Park and Festival Park - 01
Potholes,55.82421,-4.26573,S01009900,Battlefield - 02
Pavements/footpaths,55.79894,-4.2367,S01009975,Glenwood South - 03
Potholes,55.86093,-4.34685,S01009833,Drumoyne and Shieldhall - 01
Potholes,55.8354,-4.24897,S01009898,Govanhill East and Aikenhead - 05
Pavements/footpaths,55.86971,-4.30288,S01010386,Hillhead - 06
Potholes,55.80035,-4.22617,S01009979,Glenwood South - 07
